#############################################################################################################
Grid name:                escape_grid_4_params_Pxuv_a_epsilon_fO2
Total number of cases:    525
phi_crit:                 0.005
----------------------------------------------------------
 Grid Parameters
----------------------------------------------------------
"Redox state  : [-6, -4, -2, 0, 2, 4, 6]"
"Pxuv         : [1e-05, 0.0001, 0.001, 0.01, 0.1]"
"efficiency   : [0.1, 0.3, 0.5, 0.7, 1.0]"
"semimajoraxis: [0.1, 1.0, 1.5]"
----------------------------------------------------------
This file contains the following columns:
| Case number | Status | esc_rate_total | Phi_global | P_surf | atm_kg_per_mol | solidification_time |
#############################################################################################################

63,'25 Error (died)',33380220.0,0.9283625,352.3951,0.005613908,nan
64,'10 Completed (solidified)',58981.55,0.004946749,498.45,0.004871947,360448.0
65,'25 Error (died)',47069170.0,0.9297849,357.1815,0.005607939,nan
66,'10 Completed (solidified)',176873.7,0.004955614,498.2265,0.004871879,360321.0
67,'10 Completed (solidified)',78333.43,0.004852214,498.4092,0.004871897,336637.0
68,'10 Completed (solidified)',295102.3,0.004976322,498.0847,0.004872062,360265.0
69,'10 Completed (solidified)',261227.4,0.004898281,498.1373,0.004871956,336429.0
70,'10 Completed (solidified)',182842.3,0.004893463,498.2569,0.004871941,336549.0
71,'25 Error (died)',7687754.0,0.99306,297.7589,0.008192613,nan
72,'10 Completed (solidified)',413206.4,0.004979314,497.8924,0.00487208,359960.0
73,'25 Error (died)',67322020.0,0.9298588,355.5548,0.005611483,nan
74,'10 Completed (solidified)',130466.9,0.002053214,498.675,0.004873081,337532.0
75,'10 Completed (solidified)',66245.88,0.004940888,518.5295,0.005025867,2510533.0
76,'10 Completed (solidified)',589982.1,0.004924449,497.5703,0.004872022,360187.0
77,'25 Error (died)',27361000.0,0.588702,25.48924,0.01492393,nan
78,'10 Completed (solidified)',28768.78,0.004999425,519.2182,0.00502629,1643457.0
79,'25 Error (died)',17138840.0,0.8138609,51.71766,0.01368148,nan
80,'10 Completed (solidified)',198848.4,0.004777559,516.8097,0.005025238,2506708.0
81,'10 Completed (solidified)',463659.6,0.004909083,513.9949,0.005026299,2490477.0
82,'10 Completed (solidified)',86169.24,0.004923146,518.9528,0.005026685,1646321.0
83,'25 Error (died)',54745240.0,0.67268,28.95581,0.01547419,nan
84,'10 Completed (solidified)',331048.6,0.004811223,515.3144,0.005025484,2497540.0
85,'25 Error (died)',38287730.0,0.6234554,26.75746,0.01520114,nan
86,'10 Completed (solidified)',143627.9,0.004781931,517.9856,0.005025047,1642937.0
87,'25 Error (died)',7361420.0,0.9956705,347.6857,0.007926599,nan
88,'10 Completed (solidified)',201285.4,0.004760575,517.6623,0.005025363,1644929.0
89,'25 Error (died)',17300130.0,0.9056885,78.74175,0.01212733,nan
90,'10 Completed (solidified)',662338.3,0.004972194,511.9385,0.005027177,2483646.0
91,'10 Completed (solidified)',287598.9,0.004965348,517.2125,0.005026285,1640685.0
92,'10 Completed (solidified)',63975.53,0.004932037,519.2157,0.005027694,2518724.0
93,'10 Completed (solidified)',83907.79,0.004929336,518.627,0.005025754,1645508.0
94,'25 Error (died)',37069020.0,0.6220283,26.78364,0.01517222,nan
95,'10 Completed (solidified)',139802.9,0.004919013,519.249,0.005028701,1647730.0
96,'25 Error (died)',26460280.0,0.5797975,24.98092,0.01489373,nan
97,'10 Completed (solidified)',27923.66,0.004922845,519.3944,0.005026643,1646244.0
98,'10 Completed (solidified)',191995.9,0.004922239,517.0608,0.005025934,2499800.0
99,'10 Completed (solidified)',195622.2,0.004922123,517.7767,0.005025824,1645032.0
100,'10 Completed (solidified)',319775.6,0.004912448,515.5957,0.005026079,2494834.0
101,'10 Completed (solidified)',279188.4,0.004916893,517.4807,0.005026813,1643526.0
102,'25 Error (died)',52935430.0,0.645002,26.93298,0.01550197,nan
103,'10 Completed (solidified)',639325.0,0.004934669,512.4593,0.005028068,2499867.0
104,'10 Completed (solidified)',447685.0,0.004960772,514.2615,0.005026704,2497176.0
