age,lum
4.934726e-04,4.305266e+00
5.010245e-04,4.255984e+00
5.164925e-04,4.168694e+00
5.244185e-04,4.120975e+00
5.406634e-04,4.036454e+00
5.489831e-04,3.990249e+00
5.660438e-04,3.899420e+00
5.747831e-04,3.863670e+00
5.927042e-04,3.775722e+00
6.018857e-04,3.732502e+00
6.207147e-04,3.655948e+00
6.303634e-04,3.614099e+00
6.501536e-04,3.531832e+00
6.602965e-04,3.499452e+00
6.810986e-04,3.419794e+00
6.917657e-04,3.380648e+00
7.136364e-04,3.303695e+00
7.248548e-04,3.273407e+00
7.478595e-04,3.198895e+00
7.596525e-04,3.162278e+00
7.838483e-04,3.090295e+00
7.962547e-04,3.054921e+00
8.217051e-04,2.992265e+00
8.347569e-04,2.958012e+00
8.615252e-04,2.890680e+00
8.752558e-04,2.857591e+00
8.892134e-04,2.824880e+00
9.178527e-04,2.760578e+00
9.325368e-04,2.728978e+00
9.626557e-04,2.673006e+00
9.781017e-04,2.642409e+00
1.009781e-03,2.582260e+00
1.026030e-03,2.552701e+00
1.059349e-03,2.494595e+00
1.076440e-03,2.466039e+00
1.111509e-03,2.409905e+00
1.129489e-03,2.382319e+00
1.147781e-03,2.355049e+00
1.185310e-03,2.301442e+00
1.204559e-03,2.275097e+00
1.244071e-03,2.223310e+00
1.264349e-03,2.197860e+00
1.305960e-03,2.147830e+00
1.327321e-03,2.123244e+00
1.349050e-03,2.098940e+00
1.393680e-03,2.051162e+00
1.416589e-03,2.027683e+00
1.463629e-03,1.981527e+00
1.487791e-03,1.958845e+00
1.512380e-03,1.936422e+00
1.561540e-03,1.896706e+00
1.583551e-03,1.874995e+00
1.622680e-03,1.845015e+00
1.657528e-03,1.815516e+00
1.702758e-03,1.782379e+00
1.748771e-03,1.749847e+00
1.778091e-03,1.729816e+00
1.824072e-03,1.702159e+00
1.870428e-03,1.671091e+00
1.902738e-03,1.651962e+00
1.947139e-03,1.625549e+00
1.994362e-03,1.599558e+00
2.040972e-03,1.573983e+00
2.086661e-03,1.552387e+00
2.135089e-03,1.527566e+00
2.187152e-03,1.503142e+00
2.235919e-03,1.482518e+00
2.286841e-03,1.458814e+00
2.360179e-03,1.428894e+00
2.400850e-03,1.415794e+00
2.483848e-03,1.383566e+00
2.526190e-03,1.367729e+00
2.569100e-03,1.355189e+00
2.656660e-03,1.327394e+00
2.701320e-03,1.312200e+00
2.792390e-03,1.285287e+00
2.838827e-03,1.273503e+00
2.885858e-03,1.258925e+00
2.981748e-03,1.233105e+00
3.030617e-03,1.221800e+00
3.130199e-03,1.199499e+00
3.180929e-03,1.185769e+00
3.232288e-03,1.174898e+00
3.336891e-03,1.153453e+00
3.390151e-03,1.142878e+00
3.498573e-03,1.122018e+00
3.553743e-03,1.111732e+00
3.665996e-03,1.093956e+00
3.723103e-03,1.083927e+00
3.839264e-03,1.064143e+00
3.898334e-03,1.056818e+00
4.018463e-03,1.039920e+00
4.079529e-03,1.030386e+00
4.203703e-03,1.013911e+00
4.266787e-03,1.006932e+00
4.395021e-03,9.908319e-01
4.460155e-03,9.840111e-01
4.592435e-03,9.705100e-01
4.727418e-03,9.571941e-01
4.795910e-03,9.506048e-01
4.934907e-03,9.397233e-01
5.005414e-03,9.332543e-01
5.148397e-03,9.204496e-01
5.294062e-03,9.099133e-01
5.367882e-03,9.057326e-01
5.517521e-03,8.953648e-01
5.669803e-03,8.871560e-01
5.746944e-03,8.830799e-01
5.903166e-03,8.729714e-01
6.061973e-03,8.669619e-01
6.223347e-03,8.590135e-01
6.304984e-03,8.550667e-01
6.470115e-03,8.491805e-01
6.637706e-03,8.433348e-01
6.807694e-03,8.394600e-01
6.980057e-03,8.336812e-01
7.067112e-03,8.317638e-01
7.242925e-03,8.279422e-01
7.420924e-03,8.260379e-01
7.601075e-03,8.241381e-01
7.783304e-03,8.222426e-01
7.967572e-03,8.203515e-01
8.153780e-03,8.203515e-01
8.341900e-03,8.203515e-01
8.531846e-03,8.203515e-01
8.723545e-03,8.203515e-01
8.916943e-03,8.222426e-01
9.111922e-03,8.260379e-01
9.407149e-03,8.298508e-01
9.605700e-03,8.336812e-01
9.805574e-03,8.375293e-01
1.000670e-02,8.433348e-01
1.020900e-02,8.491805e-01
1.051461e-02,8.590135e-01
1.071951e-02,8.649679e-01
1.102869e-02,8.770008e-01
1.123570e-02,8.851156e-01
1.154769e-02,9.015711e-01
1.175639e-02,9.120108e-01
1.207069e-02,9.311079e-01
1.228081e-02,9.462372e-01
1.259691e-02,9.682779e-01
1.291380e-02,9.931160e-01
1.323150e-02,1.018591e+00
1.354350e-02,1.047129e+00
1.384860e-02,1.076465e+00
1.414660e-02,1.106624e+00
1.443720e-02,1.140250e+00
1.481259e-02,1.185769e+00
1.517560e-02,1.235947e+00
1.552630e-02,1.288250e+00
1.586430e-02,1.339677e+00
1.619168e-02,1.393157e+00
1.658368e-02,1.462177e+00
1.695622e-02,1.534617e+00
1.737749e-02,1.621810e+00
1.777088e-02,1.706082e+00
1.819801e-02,1.807174e+00
1.859611e-02,1.905461e+00
1.902182e-02,2.013724e+00
1.945490e-02,2.118361e+00
1.995042e-02,2.228435e+00
2.038609e-02,2.301442e+00
2.089041e-02,2.349633e+00
2.138351e-02,2.360478e+00
2.183851e-02,2.328091e+00
2.233691e-02,2.254239e+00
2.287110e-02,2.137962e+00
2.345352e-02,1.995262e+00
2.394677e-02,1.874995e+00
2.456943e-02,1.741807e+00
2.526411e-02,1.633052e+00
2.585461e-02,1.573983e+00
2.624110e-02,1.548817e+00
2.726139e-02,1.517050e+00
2.792917e-02,1.517050e+00
2.873062e-02,1.524053e+00
2.969231e-02,1.534617e+00
3.084629e-02,1.548817e+00
3.223116e-02,1.563148e+00
3.389300e-02,1.573983e+00
3.588707e-02,1.592209e+00
3.828009e-02,1.603245e+00
4.115172e-02,1.621810e+00
4.459755e-02,1.644372e+00
4.873265e-02,1.663413e+00
5.369465e-02,1.682674e+00
5.964925e-02,1.698244e+00
6.679455e-02,1.706082e+00
7.536904e-02,1.717908e+00
8.565841e-02,1.721869e+00
9.800585e-02,1.725838e+00
1.128221e-01,1.733804e+00
1.306030e-01,1.737801e+00
1.519389e-01,1.741807e+00
1.775420e-01,1.749847e+00
2.082658e-01,1.753881e+00
2.399540e-01,1.761976e+00
2.716421e-01,1.766038e+00
3.033297e-01,1.774189e+00
3.350179e-01,1.782379e+00
3.667060e-01,1.786488e+00
3.983942e-01,1.790606e+00
4.300817e-01,1.798871e+00
4.617703e-01,1.803018e+00
4.934589e-01,1.811340e+00
5.251471e-01,1.815516e+00
5.568356e-01,1.823896e+00
5.885224e-01,1.828100e+00
6.202103e-01,1.832314e+00
6.518985e-01,1.840772e+00
6.835873e-01,1.845015e+00
7.152749e-01,1.853532e+00
7.469628e-01,1.857804e+00
7.786513e-01,1.866380e+00
8.103395e-01,1.870682e+00
