age,lum
5.057746e-04,7.014553e-02
5.474154e-04,6.998420e-02
5.879319e-04,6.966265e-02
6.273588e-04,6.950243e-02
6.657267e-04,6.934258e-02
7.030675e-04,6.902398e-02
7.394112e-04,6.886523e-02
7.747864e-04,6.870684e-02
8.092207e-04,6.839116e-02
8.427427e-04,6.823387e-02
8.753767e-04,6.807694e-02
9.071519e-04,6.792036e-02
9.380911e-04,6.760830e-02
9.682177e-04,6.745280e-02
9.975553e-04,6.729767e-02
1.026129e-03,6.698846e-02
1.053960e-03,6.683439e-02
1.081070e-03,6.668068e-02
1.107480e-03,6.652732e-02
1.133209e-03,6.622165e-02
1.158281e-03,6.606934e-02
1.182701e-03,6.591739e-02
1.206510e-03,6.576578e-02
1.229711e-03,6.561453e-02
1.252319e-03,6.531306e-02
1.274371e-03,6.516284e-02
1.295860e-03,6.501297e-02
1.316810e-03,6.486344e-02
1.337239e-03,6.471426e-02
1.357169e-03,6.441693e-02
1.376601e-03,6.426877e-02
1.395562e-03,6.412096e-02
1.414051e-03,6.397348e-02
1.432089e-03,6.382635e-02
1.449700e-03,6.367955e-02
1.466881e-03,6.353309e-02
1.483648e-03,6.338697e-02
1.500020e-03,6.309573e-02
1.515999e-03,6.295062e-02
1.531599e-03,6.280584e-02
1.546839e-03,6.266139e-02
1.561719e-03,6.251727e-02
1.576261e-03,6.237348e-02
1.590450e-03,6.223003e-02
1.604331e-03,6.208690e-02
1.617879e-03,6.194411e-02
1.631132e-03,6.180164e-02
1.644080e-03,6.165950e-02
1.656739e-03,6.151769e-02
1.669122e-03,6.137620e-02
1.681222e-03,6.123504e-02
1.693059e-03,6.109420e-02
1.704630e-03,6.095369e-02
1.715959e-03,6.081350e-02
1.727038e-03,6.067363e-02
1.737881e-03,6.053409e-02
1.779008e-03,5.997911e-02
1.816850e-03,5.929253e-02
1.860082e-03,5.847901e-02
1.906760e-03,5.754399e-02
1.948601e-03,5.662393e-02
1.992219e-03,5.571857e-02
2.041512e-03,5.470160e-02
2.084548e-03,5.370318e-02
2.134258e-03,5.248075e-02
2.183650e-03,5.128614e-02
2.234339e-03,5.011872e-02
2.286762e-03,4.886524e-02
2.338810e-03,4.764310e-02
2.400513e-03,4.634469e-02
2.460492e-03,4.508167e-02
2.506542e-03,4.415704e-02
2.578030e-03,4.285485e-02
2.627338e-03,4.207266e-02
2.703921e-03,4.083194e-02
2.756779e-03,3.999447e-02
2.838932e-03,3.881504e-02
2.895690e-03,3.810658e-02
2.954099e-03,3.732502e-02
3.014213e-03,3.655948e-02
3.107728e-03,3.548134e-02
3.172371e-03,3.483373e-02
3.238963e-03,3.411929e-02
3.307570e-03,3.341950e-02
3.414420e-03,3.243396e-02
3.488390e-03,3.176874e-02
3.564626e-03,3.111716e-02
3.643208e-03,3.054921e-02
3.724209e-03,2.992265e-02
3.807694e-03,2.930893e-02
3.893723e-03,2.877398e-02
3.982374e-03,2.818383e-02
4.073671e-03,2.760578e-02
4.167705e-03,2.710192e-02
4.264509e-03,2.654606e-02
4.364153e-03,2.606154e-02
4.466692e-03,2.552701e-02
4.572145e-03,2.506109e-02
4.680637e-03,2.454709e-02
4.792168e-03,2.409905e-02
4.906852e-03,2.365920e-02
5.024722e-03,2.317395e-02
5.145884e-03,2.275097e-02
5.270454e-03,2.233572e-02
5.398474e-03,2.192805e-02
5.530087e-03,2.152782e-02
5.665406e-03,2.113489e-02
5.804569e-03,2.074914e-02
5.875705e-03,2.051162e-02
6.021352e-03,2.009093e-02
6.171603e-03,1.967886e-02
6.326653e-03,1.927525e-02
6.486703e-03,1.887991e-02
6.651966e-03,1.849269e-02
6.822539e-03,1.811340e-02
6.909904e-03,1.794734e-02
7.088968e-03,1.757924e-02
7.273811e-03,1.721869e-02
7.464728e-03,1.686553e-02
7.661856e-03,1.651962e-02
7.762829e-03,1.636817e-02
7.969682e-03,1.603245e-02
8.183197e-03,1.570363e-02
8.403651e-03,1.538155e-02
8.516497e-03,1.524053e-02
8.747521e-03,1.492794e-02
8.985909e-03,1.462177e-02
9.107874e-03,1.448772e-02
9.357439e-03,1.419058e-02
9.614639e-03,1.389953e-02
9.879706e-03,1.361445e-02
1.001530e-02,1.345860e-02
1.029250e-02,1.318257e-02
1.057811e-02,1.291219e-02
1.072420e-02,1.279381e-02
1.102300e-02,1.253141e-02
1.133071e-02,1.227439e-02
1.148799e-02,1.216186e-02
1.180970e-02,1.191242e-02
1.214099e-02,1.166810e-02
1.231031e-02,1.153453e-02
1.265680e-02,1.129796e-02
1.301371e-02,1.106624e-02
1.319620e-02,1.096478e-02
1.356960e-02,1.071519e-02
1.395439e-02,1.049542e-02
1.415129e-02,1.039920e-02
1.455409e-02,1.018591e-02
1.476009e-02,1.006932e-02
1.518151e-02,9.862795e-03
1.561590e-02,9.660509e-03
1.583821e-02,9.571941e-03
1.629319e-02,9.375620e-03
1.676282e-02,9.183326e-03
1.700321e-02,9.078205e-03
1.749561e-02,8.892011e-03
1.774770e-02,8.810489e-03
1.826409e-02,8.629785e-03
1.879689e-02,8.452788e-03
1.906962e-02,8.356030e-03
