age,lum
4.941093e-04,2.890680e-01
5.051065e-04,2.884032e-01
5.158519e-04,2.877398e-01
5.263541e-04,2.864178e-01
5.366177e-04,2.857591e-01
5.564588e-04,2.837919e-01
5.660464e-04,2.831392e-01
5.754214e-04,2.824880e-01
5.935523e-04,2.805434e-01
6.023182e-04,2.798981e-01
6.192799e-04,2.779713e-01
6.355124e-04,2.766942e-01
6.510540e-04,2.747894e-01
6.659383e-04,2.735269e-01
6.802021e-04,2.716439e-01
6.938746e-04,2.703958e-01
7.069863e-04,2.685344e-01
7.256680e-04,2.660725e-01
7.432433e-04,2.642409e-01
7.597942e-04,2.618183e-01
7.754004e-04,2.600160e-01
7.948552e-04,2.570396e-01
8.129016e-04,2.546830e-01
8.336869e-04,2.511886e-01
8.527172e-04,2.483133e-01
8.701958e-04,2.454709e-01
8.893690e-04,2.421029e-01
9.123028e-04,2.376840e-01
9.326979e-04,2.338837e-01
9.531187e-04,2.296149e-01
9.751131e-04,2.254239e-01
9.977391e-04,2.202926e-01
1.021711e-03,2.152782e-01
1.044809e-03,2.103778e-01
1.069961e-03,2.051162e-01
1.094090e-03,1.999862e-01
1.122321e-03,1.945360e-01
1.156280e-03,1.883649e-01
1.180149e-03,1.840772e-01
1.204761e-03,1.803018e-01
1.230141e-03,1.761976e-01
1.256319e-03,1.721869e-01
1.297161e-03,1.667247e-01
1.325489e-03,1.629296e-01
1.354740e-03,1.592209e-01
1.384931e-03,1.559553e-01
1.416120e-03,1.524053e-01
1.448352e-03,1.489361e-01
1.481668e-03,1.455459e-01
1.516111e-03,1.425608e-01
1.551740e-03,1.393157e-01
1.588602e-03,1.361445e-01
1.626739e-03,1.330454e-01
1.666230e-03,1.300170e-01
1.707112e-03,1.270574e-01
1.749440e-03,1.241652e-01
1.793280e-03,1.216186e-01
1.815779e-03,1.202264e-01
1.861980e-03,1.174898e-01
1.909831e-03,1.148154e-01
1.959391e-03,1.122018e-01
2.010708e-03,1.096478e-01
2.037051e-03,1.083927e-01
2.091120e-03,1.059254e-01
2.147079e-03,1.037528e-01
2.204992e-03,1.013911e-01
2.234689e-03,1.002305e-01
2.295620e-03,9.794900e-02
2.358642e-03,9.594006e-02
2.423779e-03,9.375620e-02
2.457180e-03,9.268298e-02
2.525637e-03,9.078205e-02
2.596378e-03,8.871560e-02
2.632631e-03,8.770008e-02
2.706899e-03,8.590135e-02
2.783608e-03,8.413951e-02
2.822897e-03,8.317638e-02
2.903287e-03,8.147043e-02
2.944503e-03,8.053784e-02
3.028921e-03,7.888601e-02
3.116061e-03,7.726806e-02
3.160669e-03,7.638358e-02
3.252048e-03,7.481695e-02
3.346340e-03,7.328245e-02
3.394619e-03,7.244360e-02
3.493478e-03,7.112135e-02
3.544092e-03,7.030723e-02
3.647741e-03,6.886523e-02
3.754707e-03,6.745280e-02
3.809474e-03,6.683439e-02
3.921606e-03,6.546362e-02
3.979001e-03,6.486344e-02
4.096510e-03,6.353309e-02
4.217722e-03,6.237348e-02
4.279697e-03,6.165950e-02
4.406482e-03,6.053409e-02
4.471323e-03,5.997911e-02
4.603944e-03,5.874894e-02
4.671765e-03,5.821032e-02
4.810464e-03,5.714786e-02
4.953350e-03,5.597576e-02
5.026388e-03,5.546257e-02
5.175747e-03,5.445027e-02
5.252100e-03,5.395106e-02
5.408216e-03,5.284453e-02
5.488037e-03,5.236004e-02
5.651569e-03,5.128614e-02
5.820375e-03,5.011872e-02
5.906796e-03,4.965923e-02
6.083787e-03,4.864072e-02
6.174403e-03,4.808393e-02
6.359925e-03,4.709773e-02
6.454877e-03,4.655861e-02
6.649270e-03,4.560369e-02
6.748745e-03,4.518559e-02
6.952372e-03,4.425884e-02
7.162358e-03,4.335109e-02
7.269776e-03,4.285485e-02
7.489641e-03,4.197590e-02
7.602107e-03,4.159106e-02
7.832258e-03,4.073803e-02
7.950016e-03,4.027170e-02
8.190907e-03,3.944573e-02
8.314153e-03,3.908409e-02
8.566314e-03,3.828247e-02
8.695309e-03,3.784426e-02
8.959236e-03,3.706807e-02
9.231367e-03,3.630781e-02
9.370570e-03,3.597493e-02
9.655394e-03,3.523709e-02
