age,lum
4.897732e-04,9.120108e-01
5.014285e-04,8.912509e-01
5.134675e-04,8.709636e-01
5.258925e-04,8.511380e-01
5.387248e-04,8.317638e-01
5.519758e-04,8.128305e-01
5.656646e-04,7.925013e-01
5.798064e-04,7.744618e-01
5.944194e-04,7.568329e-01
6.019092e-04,7.481695e-01
6.172655e-04,7.311391e-01
6.331389e-04,7.144963e-01
6.495506e-04,6.966265e-01
6.665212e-04,6.807694e-01
6.752195e-04,6.729767e-01
6.930619e-04,6.576578e-01
7.115100e-04,6.426877e-01
7.305938e-04,6.266139e-01
7.403754e-04,6.194411e-01
7.604506e-04,6.053409e-01
7.812122e-04,5.915616e-01
8.026866e-04,5.767665e-01
8.137013e-04,5.701643e-01
8.363017e-04,5.571857e-01
8.596823e-04,5.445027e-01
8.716778e-04,5.382698e-01
8.962497e-04,5.260173e-01
9.216308e-04,5.152286e-01
9.346328e-04,5.093309e-01
9.612802e-04,4.988845e-01
9.749290e-04,4.931738e-01
1.002910e-03,4.819478e-01
1.031801e-03,4.720630e-01
1.046610e-03,4.666594e-01
1.076951e-03,4.560369e-01
1.108289e-03,4.456562e-01
1.124351e-03,4.415704e-01
1.157260e-03,4.315191e-01
1.174119e-03,4.265795e-01
1.208679e-03,4.168694e-01
1.244391e-03,4.083194e-01
1.262679e-03,4.036454e-01
1.300170e-03,3.944573e-01
1.319380e-03,3.899420e-01
1.358761e-03,3.810658e-01
1.378939e-03,3.767038e-01
1.420300e-03,3.681290e-01
1.463060e-03,3.597493e-01
1.484971e-03,3.556313e-01
1.529889e-03,3.475362e-01
1.552920e-03,3.435579e-01
1.600140e-03,3.357376e-01
1.624359e-03,3.318945e-01
1.674021e-03,3.243396e-01
1.699480e-03,3.206269e-01
1.751741e-03,3.133286e-01
1.778529e-03,3.097419e-01
1.833530e-03,3.026913e-01
1.861740e-03,2.992265e-01
1.919650e-03,2.924152e-01
1.949360e-03,2.890680e-01
2.010361e-03,2.824880e-01
2.041658e-03,2.792544e-01
2.105911e-03,2.728978e-01
2.138888e-03,2.697739e-01
2.206602e-03,2.630268e-01
2.241352e-03,2.600160e-01
2.312688e-03,2.540973e-01
2.349297e-03,2.511886e-01
2.424438e-03,2.454709e-01
2.462992e-03,2.426610e-01
2.542137e-03,2.371374e-01
2.582748e-03,2.344229e-01
2.624061e-03,2.317395e-01
2.708850e-03,2.264644e-01
2.752352e-03,2.238721e-01
2.841600e-03,2.182730e-01
2.887380e-03,2.157744e-01
2.981309e-03,2.108628e-01
3.029472e-03,2.084491e-01
3.128268e-03,2.032357e-01
3.178930e-03,2.009093e-01
3.230442e-03,1.986095e-01
3.336092e-03,1.940886e-01
3.390260e-03,1.918669e-01
3.501330e-03,1.870682e-01
3.558263e-03,1.849269e-01
3.675022e-03,1.803018e-01
3.734883e-03,1.782379e-01
3.795736e-03,1.761976e-01
3.920568e-03,1.717908e-01
3.984557e-03,1.698244e-01
4.115864e-03,1.655770e-01
4.183184e-03,1.636817e-01
4.321296e-03,1.595879e-01
4.392148e-03,1.577611e-01
4.464235e-03,1.559553e-01
4.612029e-03,1.524053e-01
4.687778e-03,1.506607e-01
4.843051e-03,1.472313e-01
4.922628e-03,1.455459e-01
5.003559e-03,1.438799e-01
5.169529e-03,1.406048e-01
5.254628e-03,1.389953e-01
5.429265e-03,1.355189e-01
5.518830e-03,1.339677e-01
5.702654e-03,1.309182e-01
5.796996e-03,1.294196e-01
5.892967e-03,1.279381e-01
