# Spectrum of hd97658 (muscles) at 1 AU
# WL(nm)	Flux(ergs/cm**2/s/nm)
1.6992797e+01	2.0497507e-01 
1.7092797e+01	2.0497507e-01 
1.7192797e+01	2.0497507e-01 
1.7292797e+01	2.0497507e-01 
1.7392797e+01	2.0497507e-01 
1.7492797e+01	2.0497507e-01 
1.7592797e+01	2.0497507e-01 
1.7692797e+01	2.0497507e-01 
1.7792797e+01	2.0497507e-01 
1.7892797e+01	2.0497507e-01 
1.7992797e+01	2.0497507e-01 
1.8092797e+01	2.0497507e-01 
1.8192797e+01	2.0497507e-01 
1.8292797e+01	2.0497507e-01 
1.8392797e+01	2.0497507e-01 
1.8492797e+01	2.0497507e-01 
1.8592797e+01	2.0497507e-01 
1.8692797e+01	2.0497507e-01 
1.8792797e+01	2.0497507e-01 
1.8892797e+01	2.0497507e-01 
1.8992797e+01	2.0497507e-01 
1.9092797e+01	2.0497507e-01 
1.9192797e+01	2.0497507e-01 
1.9292797e+01	2.0497507e-01 
1.9392797e+01	2.0497507e-01 
1.9492797e+01	2.0497507e-01 
1.9592797e+01	2.0497507e-01 
1.9692797e+01	2.0497507e-01 
1.9792797e+01	2.0497507e-01 
1.9892797e+01	2.0497507e-01 
1.9992797e+01	2.0799801e-01 
2.0092797e+01	2.1203843e-01 
2.0192797e+01	2.1203843e-01 
2.0292797e+01	2.1203843e-01 
2.0392797e+01	2.1203843e-01 
2.0492797e+01	2.1203843e-01 
2.0592797e+01	2.1203843e-01 
2.0692797e+01	2.1203843e-01 
2.0792797e+01	2.1203843e-01 
2.0892797e+01	2.1203843e-01 
2.0992797e+01	2.1203843e-01 
2.1092797e+01	2.1203843e-01 
2.1192797e+01	2.1203843e-01 
2.1292797e+01	2.1203843e-01 
2.1392797e+01	2.1203843e-01 
2.1492797e+01	2.1203843e-01 
2.1592797e+01	2.1203843e-01 
2.1692797e+01	2.1203843e-01 
2.1792797e+01	2.1203843e-01 
2.1892797e+01	2.1203843e-01 
2.1992797e+01	2.1203843e-01 
2.2092797e+01	2.1203843e-01 
2.2192797e+01	2.1203843e-01 
2.2292797e+01	2.1203843e-01 
2.2392797e+01	2.1203843e-01 
2.2492797e+01	2.1203843e-01 
2.2592797e+01	2.1203843e-01 
2.2692797e+01	2.1203843e-01 
2.2792797e+01	2.1203843e-01 
2.2892797e+01	2.1203843e-01 
2.2992797e+01	2.1203843e-01 
2.3092797e+01	2.1203843e-01 
2.3192797e+01	2.1203843e-01 
2.3292797e+01	2.1203843e-01 
2.3392797e+01	2.1203843e-01 
2.3492797e+01	2.1203843e-01 
2.3592797e+01	2.1203843e-01 
2.3692797e+01	2.1203843e-01 
2.3792797e+01	2.1203843e-01 
2.3892797e+01	2.1203843e-01 
2.3992797e+01	2.1203843e-01 
2.4092797e+01	2.1203843e-01 
2.4192797e+01	2.1203843e-01 
2.4292797e+01	2.1203843e-01 
2.4392797e+01	2.1203843e-01 
2.4492797e+01	2.1203843e-01 
2.4592797e+01	2.1203843e-01 
2.4692797e+01	2.1203843e-01 
2.4792797e+01	2.1203843e-01 
2.4892797e+01	2.1203843e-01 
2.4992797e+01	2.1203843e-01 
2.5092797e+01	2.1203843e-01 
2.5192797e+01	2.1203843e-01 
2.5292797e+01	2.1203843e-01 
2.5392797e+01	2.1203843e-01 
2.5492797e+01	2.1203843e-01 
2.5592797e+01	2.1203843e-01 
2.5692797e+01	2.1203843e-01 
2.5792797e+01	2.1203843e-01 
