struct.mass_tot,struct.corefrac
2.5159734435668097,0.3038387022940897
1.2659734435668097,0.5038387022940897
1.8909734435668097,0.7038387022940897
2.11783599494954,0.764003825501586
1.9852540100251184,0.6189507308386406
1.6216559799778745,0.7364503354448511
2.5859258120375053,0.9000000000000001
1.3669584652981939,0.7292070166056119
2.2266462810543706,0.7012698584927163
2.9637634370147596,0.3816518483239315
2.9894912454217013,0.8688762632587295
0.5,0.9000000000000001
1.6854253916875674,0.3
2.7410122858457,0.9000000000000001
2.834719191288826,0.3120586980124015
2.630990734511144,0.8323379057386036
2.5363396542599648,0.3459758036772892
2.75594123540445,0.9000000000000001
2.636772785840765,0.8475598727259732
2.6321547250936623,0.9000000000000001
2.785199106722344,0.9000000000000001
