star.dummy.Teff,orbit.semimajoraxis
2700.0,0.016237767391887217
2700.0,0.0206913808111479
2700.0,0.02636650898730358
2900.0,0.016237767391887217
2900.0,0.0206913808111479
2900.0,0.02636650898730358
3100.0,0.016237767391887217
3100.0,0.0206913808111479
3100.0,0.02636650898730358
3300.0,0.033598182862837805
3300.0,0.04281332398719393
3300.0,0.0545559478116852
3500.0,0.033598182862837805
3500.0,0.04281332398719393
3500.0,0.0545559478116852
3700.0,0.04281332398719393
3700.0,0.0545559478116852
3700.0,0.06951927961775606
3900.0,0.04281332398719393
3900.0,0.0545559478116852
3900.0,0.06951927961775606
4100.0,0.0545559478116852
4100.0,0.06951927961775606
4100.0,0.08858667904100824
4300.0,0.0545559478116852
4300.0,0.06951927961775606
4300.0,0.08858667904100824
4500.0,0.08858667904100824
4500.0,0.11288378916846889
4500.0,0.14384498882876628
4700.0,0.08858667904100824
4700.0,0.11288378916846889
4700.0,0.14384498882876628
4900.0,0.11288378916846889
4900.0,0.14384498882876628
4900.0,0.18329807108324359
5100.0,0.11288378916846889
5100.0,0.14384498882876628
5100.0,0.18329807108324359
5300.0,0.11288378916846889
5300.0,0.14384498882876628
5300.0,0.18329807108324359
5500.0,0.11288378916846889
5500.0,0.14384498882876628
5500.0,0.18329807108324359
5700.0,0.14384498882876628
5700.0,0.18329807108324359
5700.0,0.23357214690901212
5900.0,0.14384498882876628
5900.0,0.18329807108324359
5900.0,0.23357214690901212
