star.dummy.Teff,orbit.semimajoraxis
,
2500,0.01
2500,0.0127427
4500,0.112884
4700,0.112884
4900,0.143845
5100,0.143845
,
2700,0.01
2700,0.0127427
3300,0.0162378
3300,0.0206914
3300,0.0263665
4500,0.0428133
4500,0.0545559
4500,0.0695193
4900,0.0545559
4900,0.0695193
4900,0.0885867
