0.000000000000000000e+00 7.161117824360908800e+18 7.161117824360908800e+18
2.000100000000000000e+04 7.433811683655754752e+18 7.433811683655754752e+18
2.478600000000000000e+04 7.692129347124937728e+18 7.692129347124937728e+18
2.482700000000000000e+04 8.263648501847890944e+18 8.263648501847890944e+18
2.485600000000000000e+04 8.878760254840320000e+18 8.878760254840320000e+18
2.488300000000000000e+04 9.540910170137286656e+18 9.540910170137286656e+18
2.491100000000000000e+04 1.025289881503490458e+19 1.025289881503490458e+19
2.494100000000000000e+04 1.101400992579137741e+19 1.101400992579137741e+19
2.496900000000000000e+04 1.180433716249561293e+19 1.180433716249561293e+19
2.499600000000000000e+04 1.260918775437525197e+19 1.260918775437525197e+19
2.502500000000000000e+04 1.354837877019834368e+19 1.354837877019834368e+19
2.505200000000000000e+04 1.447518445261892608e+19 1.447518445261892608e+19
