Time	separation	R_int	M_int	T_surf	T_magma	T_eqm	T_skin	F_int	F_atm	F_net	F_olr	F_sct	F_ins	gravity	Phi_global	RF_depth	M_core	M_mantle	M_planet	M_mantle_solid	M_mantle_liquid	R_star	age_star	z_obs	rho_obs	transit_depth	contrast_ratio	bond_albedo	esc_rate_total	M_atm	P_surf	atm_kg_per_mol	H2O_mol_atm	H2O_mol_solid	H2O_mol_liquid	H2O_mol_total	H2O_kg_atm	H2O_kg_solid	H2O_kg_liquid	H2O_kg_total	H2O_vmr	H2O_bar	CO2_mol_atm	CO2_mol_solid	CO2_mol_liquid	CO2_mol_total	CO2_kg_atm	CO2_kg_solid	CO2_kg_liquid	CO2_kg_total	CO2_vmr	CO2_bar	H2_mol_atm	H2_mol_solid	H2_mol_liquid	H2_mol_total	H2_kg_atm	H2_kg_solid	H2_kg_liquid	H2_kg_total	H2_vmr	H2_bar	CH4_mol_atm	CH4_mol_solid	CH4_mol_liquid	CH4_mol_total	CH4_kg_atm	CH4_kg_solid	CH4_kg_liquid	CH4_kg_total	CH4_vmr	CH4_bar	CO_mol_atm	CO_mol_solid	CO_mol_liquid	CO_mol_total	CO_kg_atm	CO_kg_solid	CO_kg_liquid	CO_kg_total	CO_vmr	CO_bar	N2_mol_atm	N2_mol_solid	N2_mol_liquid	N2_mol_total	N2_kg_atm	N2_kg_solid	N2_kg_liquid	N2_kg_total	N2_vmr	N2_bar	S2_mol_atm	S2_mol_solid	S2_mol_liquid	S2_mol_total	S2_kg_atm	S2_kg_solid	S2_kg_liquid	S2_kg_total	S2_vmr	S2_bar	SO2_mol_atm	SO2_mol_solid	SO2_mol_liquid	SO2_mol_total	SO2_kg_atm	SO2_kg_solid	SO2_kg_liquid	SO2_kg_total	SO2_vmr	SO2_bar	SiO_mol_atm	SiO_mol_solid	SiO_mol_liquid	SiO_mol_total	SiO_kg_atm	SiO_kg_solid	SiO_kg_liquid	SiO_kg_total	SiO_vmr	SiO_bar	SiO2_mol_atm	SiO2_mol_solid	SiO2_mol_liquid	SiO2_mol_total	SiO2_kg_atm	SiO2_kg_solid	SiO2_kg_liquid	SiO2_kg_total	SiO2_vmr	SiO2_bar	MgO_mol_atm	MgO_mol_solid	MgO_mol_liquid	MgO_mol_total	MgO_kg_atm	MgO_kg_solid	MgO_kg_liquid	MgO_kg_total	MgO_vmr	MgO_bar	FeO2_mol_atm	FeO2_mol_solid	FeO2_mol_liquid	FeO2_mol_total	FeO2_kg_atm	FeO2_kg_solid	FeO2_kg_liquid	FeO2_kg_total	FeO2_vmr	FeO2_bar	H_kg_atm	H_kg_solid	H_kg_liquid	H_kg_total	O_kg_atm	O_kg_solid	O_kg_liquid	O_kg_total	C_kg_atm	C_kg_solid	C_kg_liquid	C_kg_total	N_kg_atm	N_kg_solid	N_kg_liquid	N_kg_total	S_kg_atm	S_kg_solid	S_kg_liquid	S_kg_total	Si_kg_atm	Si_kg_solid	Si_kg_liquid	Si_kg_total	Mg_kg_atm	Mg_kg_solid	Mg_kg_liquid	Mg_kg_total	Fe_kg_atm	Fe_kg_solid	Fe_kg_liquid	Fe_kg_total	Na_kg_atm	Na_kg_solid	Na_kg_liquid	Na_kg_total	H/O_atm	H/C_atm	H/N_atm	H/S_atm	H/Si_atm	H/Mg_atm	H/Fe_atm	H/Na_atm	O/C_atm	O/N_atm	O/S_atm	O/Si_atm	O/Mg_atm	O/Fe_atm	O/Na_atm	C/N_atm	C/S_atm	C/Si_atm	C/Mg_atm	C/Fe_atm	C/Na_atm	N/S_atm	N/Si_atm	N/Mg_atm	N/Fe_atm	N/Na_atm	S/Si_atm	S/Mg_atm	S/Fe_atm	S/Na_atm	Si/Mg_atm	Si/Fe_atm	Si/Na_atm	Mg/Fe_atm	Mg/Na_atm	Fe/Na_atm
0.000000e+00	1.495979e+11	6.335439e+06	5.972000e+24	4.000000e+03	4.000000e+03	3.080225e+02	2.590150e+02	-0.000000e+00	1.173115e+05	-1.173115e+05	1.175837e+05	3.402970e+01	1.361196e+03	9.930493e+00	8.864278e-01	3.681818e-01	0.000000e+00	9.502501e+24	5.973997e+24	1.079220e+24	8.423281e+24	6.957000e+08	1.000000e+08	0.000000e+00	5.606619e+03	8.292957e-05	1.549725e-07	1.111111e-01	0.000000e+00	1.997198e+21	3.932659e+02	3.127285e-02	5.737505e+20	0.000000e+00	4.605209e+23	4.610947e+23	1.033628e+19	0.000000e+00	8.296414e+21	8.306750e+21	8.983992e-03	3.533098e+00	1.361612e+22	0.000000e+00	7.289528e+21	2.090564e+22	5.992453e+20	0.000000e+00	3.208121e+20	9.200574e+20	2.132061e-01	8.384668e+01	2.148316e+20	0.000000e+00	0.000000e+00	2.148316e+20	4.330747e+17	0.000000e+00	0.000000e+00	4.330747e+17	3.363910e-03	1.322911e+00	3.020862e+12	0.000000e+00	1.351789e+11	3.156041e+12	4.845463e+10	0.000000e+00	2.168269e+09	5.062290e+10	4.730175e-11	1.860217e-08	4.877744e+22	0.000000e+00	7.745943e+21	5.652338e+22	1.366256e+21	0.000000e+00	2.169639e+20	1.583220e+21	7.637747e-01	3.003666e+02	6.305908e+20	0.000000e+00	4.782008e+19	6.784109e+20	1.766537e+19	0.000000e+00	1.339632e+18	1.900500e+19	9.874018e-03	3.883115e+00	8.305934e+17	0.000000e+00	2.962352e+22	2.962435e+22	5.324104e+16	0.000000e+00	1.898868e+21	1.898921e+21	1.300573e-05	5.114711e-03	5.008928e+19	0.000000e+00	0.000000e+00	5.008928e+19	3.209020e+18	0.000000e+00	0.000000e+00	3.209020e+18	7.843161e-04	3.084448e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.589781e+18	0.000000e+00	9.284102e+20	9.300000e+20	1.226861e+21	0.000000e+00	7.725052e+21	8.951913e+21	7.494090e+20	0.000000e+00	1.805910e+20	9.300000e+20	1.766537e+19	0.000000e+00	1.339632e+18	1.900500e+19	1.632491e+18	0.000000e+00	1.898868e+21	1.900500e+21	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.295812e-03	2.121380e-03	8.999423e-02	9.738376e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.637105e+00	6.945005e+01	7.515268e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.242249e+01	4.590585e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.082111e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	1.495979e+11	6.335439e+06	5.972000e+24	3.999999e+03	3.999999e+03	3.080225e+02	2.590150e+02	-0.000000e+00	1.173114e+05	-1.173114e+05	1.175836e+05	3.402970e+01	1.361196e+03	9.930493e+00	8.864278e-01	3.681818e-01	0.000000e+00	9.502501e+24	5.973997e+24	1.079220e+24	8.423281e+24	6.957000e+08	1.000000e+08	0.000000e+00	5.606619e+03	8.292957e-05	1.549724e-07	1.111111e-01	0.000000e+00	1.997198e+21	3.932659e+02	3.127285e-02	5.737505e+20	0.000000e+00	4.605209e+23	4.610947e+23	1.033628e+19	0.000000e+00	8.296414e+21	8.306750e+21	8.983992e-03	3.533098e+00	1.361612e+22	0.000000e+00	7.289530e+21	2.090565e+22	5.992454e+20	0.000000e+00	3.208122e+20	9.200577e+20	2.132061e-01	8.384670e+01	2.148315e+20	0.000000e+00	0.000000e+00	2.148315e+20	4.330745e+17	0.000000e+00	0.000000e+00	4.330745e+17	3.363909e-03	1.322911e+00	3.020863e+12	0.000000e+00	1.351790e+11	3.156042e+12	4.845465e+10	0.000000e+00	2.168271e+09	5.062292e+10	4.730177e-11	1.860217e-08	4.877743e+22	0.000000e+00	7.745943e+21	5.652337e+22	1.366256e+21	0.000000e+00	2.169639e+20	1.583220e+21	7.637746e-01	3.003665e+02	6.305908e+20	0.000000e+00	4.782008e+19	6.784109e+20	1.766537e+19	0.000000e+00	1.339632e+18	1.900500e+19	9.874018e-03	3.883115e+00	8.305935e+17	0.000000e+00	2.962352e+22	2.962435e+22	5.324104e+16	0.000000e+00	1.898868e+21	1.898921e+21	1.300573e-05	5.114712e-03	5.008928e+19	0.000000e+00	0.000000e+00	5.008928e+19	3.209020e+18	0.000000e+00	0.000000e+00	3.209020e+18	7.843160e-04	3.084447e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.589781e+18	0.000000e+00	9.284102e+20	9.300000e+20	1.226861e+21	0.000000e+00	7.725052e+21	8.951913e+21	7.494089e+20	0.000000e+00	1.805911e+20	9.300000e+20	1.766537e+19	0.000000e+00	1.339632e+18	1.900500e+19	1.632491e+18	0.000000e+00	1.898868e+21	1.900500e+21	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.295812e-03	2.121380e-03	8.999422e-02	9.738377e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.637105e+00	6.945005e+01	7.515269e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.242249e+01	4.590585e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.082111e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	1.495979e+11	6.335439e+06	5.972000e+24	3.999999e+03	3.999999e+03	3.080225e+02	2.590150e+02	-0.000000e+00	1.173114e+05	-1.173114e+05	1.175836e+05	3.402970e+01	1.361196e+03	9.930493e+00	8.864278e-01	3.681818e-01	0.000000e+00	9.502501e+24	5.973997e+24	1.079220e+24	8.423281e+24	6.957000e+08	1.000000e+08	0.000000e+00	5.606619e+03	8.292957e-05	1.549724e-07	1.111111e-01	2.000000e+04	1.997198e+21	3.932659e+02	3.127285e-02	5.737505e+20	0.000000e+00	4.605209e+23	4.610947e+23	1.033628e+19	0.000000e+00	8.296414e+21	8.306750e+21	8.983992e-03	3.533098e+00	1.361612e+22	0.000000e+00	7.289530e+21	2.090565e+22	5.992454e+20	0.000000e+00	3.208122e+20	9.200577e+20	2.132061e-01	8.384670e+01	2.148315e+20	0.000000e+00	0.000000e+00	2.148315e+20	4.330745e+17	0.000000e+00	0.000000e+00	4.330745e+17	3.363909e-03	1.322911e+00	3.020863e+12	0.000000e+00	1.351790e+11	3.156042e+12	4.845465e+10	0.000000e+00	2.168271e+09	5.062292e+10	4.730177e-11	1.860217e-08	4.877743e+22	0.000000e+00	7.745943e+21	5.652337e+22	1.366256e+21	0.000000e+00	2.169639e+20	1.583220e+21	7.637746e-01	3.003665e+02	6.305908e+20	0.000000e+00	4.782008e+19	6.784109e+20	1.766537e+19	0.000000e+00	1.339632e+18	1.900500e+19	9.874018e-03	3.883115e+00	8.305935e+17	0.000000e+00	2.962352e+22	2.962435e+22	5.324104e+16	0.000000e+00	1.898868e+21	1.898921e+21	1.300573e-05	5.114712e-03	5.008928e+19	0.000000e+00	0.000000e+00	5.008928e+19	3.209020e+18	0.000000e+00	0.000000e+00	3.209020e+18	7.843160e-04	3.084447e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.589781e+18	0.000000e+00	9.284102e+20	9.300000e+20	1.226861e+21	0.000000e+00	7.725052e+21	8.951913e+21	7.494089e+20	0.000000e+00	1.805911e+20	9.300000e+20	1.766537e+19	0.000000e+00	1.339632e+18	1.900500e+19	1.632491e+18	0.000000e+00	1.898868e+21	1.900500e+21	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.295812e-03	2.121380e-03	8.999422e-02	9.738377e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.637105e+00	6.945005e+01	7.515269e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.242249e+01	4.590585e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.082111e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.495979e+11	6.335439e+06	5.972000e+24	3.844346e+03	3.844346e+03	3.080225e+02	2.590150e+02	1.311061e+07	1.000500e+05	1.301056e+07	1.003223e+05	3.402970e+01	1.361196e+03	9.930493e+00	8.864278e-01	3.681818e-01	0.000000e+00	9.502501e+24	5.974000e+24	1.079220e+24	8.423281e+24	6.957000e+08	1.000000e+08	0.000000e+00	5.606619e+03	8.292957e-05	1.322289e-07	1.111111e-01	2.000000e+04	1.999565e+21	3.937012e+02	3.149649e-02	5.697602e+20	0.000000e+00	4.605368e+23	4.611066e+23	1.026439e+19	0.000000e+00	8.296699e+21	8.306964e+21	8.974676e-03	3.533341e+00	1.440816e+22	0.000000e+00	7.763253e+21	2.217141e+22	6.341029e+20	0.000000e+00	3.416607e+20	9.757637e+20	2.269526e-01	8.935150e+01	2.029726e+20	0.000000e+00	0.000000e+00	2.029726e+20	4.091685e+17	0.000000e+00	0.000000e+00	4.091685e+17	3.197158e-03	1.258725e+00	3.309349e+12	0.000000e+00	1.491356e+11	3.458485e+12	5.308196e+10	0.000000e+00	2.392135e+09	5.547409e+10	5.212778e-11	2.052277e-08	4.762482e+22	0.000000e+00	7.632794e+21	5.525761e+22	1.333971e+21	0.000000e+00	2.137946e+20	1.547766e+21	7.501706e-01	2.953431e+02	6.302740e+20	0.000000e+00	4.813687e+19	6.784109e+20	1.765650e+19	0.000000e+00	1.348506e+18	1.900500e+19	9.927870e-03	3.908614e+00	8.435754e+17	0.000000e+00	2.962431e+22	2.962516e+22	5.407318e+16	0.000000e+00	1.898919e+21	1.898973e+21	1.328772e-05	5.231393e-03	4.849184e+19	0.000000e+00	0.000000e+00	4.849184e+19	3.106678e+18	0.000000e+00	0.000000e+00	3.106678e+18	7.638276e-04	3.007199e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.557829e+18	0.000000e+00	9.284422e+20	9.300000e+20	1.233649e+21	0.000000e+00	7.738654e+21	8.972303e+21	7.450781e+20	0.000000e+00	1.849219e+20	9.300000e+20	1.765650e+19	0.000000e+00	1.348506e+18	1.900500e+19	1.581693e+18	0.000000e+00	1.898919e+21	1.900500e+21	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.262782e-03	2.090827e-03	8.822982e-02	9.849124e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.655731e+00	6.986941e+01	7.799545e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.219853e+01	4.710635e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.116303e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	1.495979e+11	6.335439e+06	5.972000e+24	3.787495e+03	3.787495e+03	3.080225e+02	2.590150e+02	1.222122e+07	9.424598e+04	1.212697e+07	9.451822e+04	3.402970e+01	1.361196e+03	9.930493e+00	8.864278e-01	3.681818e-01	0.000000e+00	9.502501e+24	5.974000e+24	1.079220e+24	8.423281e+24	6.957000e+08	1.000000e+08	0.000000e+00	5.606619e+03	8.292957e-05	1.245815e-07	1.111111e-01	2.000000e+04	2.000458e+21	3.938700e+02	3.158405e-02	5.682052e+20	0.000000e+00	4.605427e+23	4.611109e+23	1.023638e+19	0.000000e+00	8.296805e+21	8.307041e+21	8.971060e-03	3.533431e+00	1.471603e+22	0.000000e+00	7.949034e+21	2.266506e+22	6.476524e+20	0.000000e+00	3.498370e+20	9.974894e+20	2.323428e-01	9.151284e+01	1.986504e+20	0.000000e+00	0.000000e+00	1.986504e+20	4.004553e+17	0.000000e+00	0.000000e+00	4.004553e+17	3.136374e-03	1.235324e+00	3.431311e+12	0.000000e+00	1.550590e+11	3.586370e+12	5.503824e+10	0.000000e+00	2.487146e+09	5.752538e+10	5.417497e-11	2.133789e-08	4.717585e+22	0.000000e+00	7.588108e+21	5.476396e+22	1.321396e+21	0.000000e+00	2.125429e+20	1.533939e+21	7.448319e-01	2.933669e+02	6.301495e+20	0.000000e+00	4.826138e+19	6.784109e+20	1.765301e+19	0.000000e+00	1.351994e+18	1.900500e+19	9.949061e-03	3.918637e+00	8.478929e+17	0.000000e+00	2.962463e+22	2.962548e+22	5.434993e+16	0.000000e+00	1.898939e+21	1.898993e+21	1.338688e-05	5.272692e-03	4.784733e+19	0.000000e+00	0.000000e+00	4.784733e+19	3.065387e+18	0.000000e+00	0.000000e+00	3.065387e+18	7.554335e-04	2.975426e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.545981e+18	0.000000e+00	9.284540e+20	9.300000e+20	1.236272e+21	0.000000e+00	7.743977e+21	8.980249e+21	7.433834e+20	0.000000e+00	1.866166e+20	9.300000e+20	1.765301e+19	0.000000e+00	1.351994e+18	1.900500e+19	1.561169e+18	0.000000e+00	1.898939e+21	1.900500e+21	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.250519e-03	2.079655e-03	8.757606e-02	9.902714e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.663034e+00	7.003179e+01	7.918885e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.211086e+01	4.761710e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.130756e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
