z_obs,R_int,M_planet,transit_depth,bond_albedo,contrast_ratio,run_time,index
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.732876777648926,2000.0
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.729485273361206,2131.578947368421
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.908236026763916,2263.157894736842
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9333841800689697,2394.7368421052633
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9177496433258057,2526.315789473684
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.742790937423706,2657.894736842105
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.728053092956543,2789.4736842105262
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.942077875137329,2921.0526315789475
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.7322981357574463,3052.6315789473683
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,4.03770112991333,3184.210526315789
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9227569103240967,3315.7894736842104
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.746875047683716,3447.3684210526317
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.7726049423217773,3578.9473684210525
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.788423776626587,3710.5263157894733
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.884276866912842,3842.1052631578946
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.8591339588165283,3973.684210526316
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.849398136138916,4105.263157894737
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.972687005996704,4236.8421052631575
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9115350246429443,4368.421052631578
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,4.054576873779297,4500.0
