z_obs,R_int,M_planet,transit_depth,bond_albedo,contrast_ratio,run_time,index
0.0,6345655.0,5.975634e+24,8.319725e-05,0.1111111,3.7496e-10,7.324110984802246,-4.0
0.0,6345655.0,5.975716e+24,8.319725e-05,0.1111111,3.7496e-10,7.127692699432373,-3.5789473684210527
0.0,6345655.0,5.975847e+24,8.319725e-05,0.1111111,3.7496e-10,6.696245908737183,-3.1578947368421053
0.0,6345655.0,5.976043e+24,8.319725e-05,0.1111111,3.7496e-10,6.510921001434326,-2.736842105263158
0.0,6345655.0,5.976329e+24,8.319725e-05,0.1111111,3.7496e-10,6.393808841705322,-2.3157894736842106
0.0,6345655.0,5.97672e+24,8.319725e-05,0.1111111,3.7496e-10,6.437755107879639,-1.8947368421052633
0.0,6345655.0,5.977217e+24,8.319725e-05,0.1111111,3.7496e-10,6.256922006607056,-1.473684210526316
0.0,6345655.0,5.977789e+24,8.319725e-05,0.1111111,3.7496e-10,6.162703037261963,-1.0526315789473686
0.0,6345655.0,5.978378e+24,8.319725e-05,0.1111111,3.7496e-10,5.844511985778809,-0.6315789473684212
0.0,6345655.0,5.97892e+24,8.319725e-05,0.1111111,3.7496e-10,5.556830883026123,-0.2105263157894739
0.0,6345655.0,5.979369e+24,8.319725e-05,0.1111111,3.7496e-10,5.1287150382995605,0.21052631578947345
0.0,6345655.0,5.979713e+24,8.319725e-05,0.1111111,3.7496e-10,4.54311203956604,0.6315789473684212
0.0,6345655.0,5.979981e+24,8.319725e-05,0.1111111,3.7496e-10,4.236072778701782,1.0526315789473681
0.0,6345655.0,5.980307e+24,8.319725e-05,0.1111111,3.7496e-10,4.135752201080322,1.473684210526315
0.0,6345655.0,5.981114e+24,8.319725e-05,0.1111111,3.7496e-10,3.977980852127075,1.8947368421052628
0.0,6345655.0,5.982762e+24,8.319725e-05,0.1111111,3.7496e-10,3.8580358028411865,2.3157894736842106
0.0,6345655.0,5.984418e+24,8.319725e-05,0.1111111,3.7496e-10,3.8824682235717773,2.7368421052631575
0.0,6345655.0,5.98512e+24,8.319725e-05,0.1111111,3.7496e-10,3.7848570346832275,3.1578947368421044
0.0,6345655.0,5.985281e+24,8.319725e-05,0.1111111,3.7496e-10,3.7970130443573,3.578947368421052
0.0,6345655.0,5.985319e+24,8.319725e-05,0.1111111,3.7496e-10,3.71813702583313,4.0
