z_obs,R_int,M_planet,transit_depth,bond_albedo,contrast_ratio,run_time,index
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.901527166366577,50.0
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9898180961608887,68.42105263157895
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.934084177017212,86.84210526315789
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9114482402801514,105.26315789473685
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9529407024383545,123.6842105263158
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.8462331295013428,142.10526315789474
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.934337854385376,160.5263157894737
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9823811054229736,178.94736842105263
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9898250102996826,197.3684210526316
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.891530990600586,215.78947368421055
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9423627853393555,234.21052631578948
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9770607948303223,252.63157894736844
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9777181148529053,271.0526315789474
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,4.0032799243927,289.47368421052636
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.944338083267212,307.89473684210526
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9514620304107666,326.3157894736842
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9207968711853027,344.7368421052632
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.989187717437744,363.15789473684214
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.948000192642212,381.5789473684211
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9305999279022217,400.0
