z_obs,R_int,M_planet,transit_depth,bond_albedo,contrast_ratio,run_time,index
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9472551345825195,0.0
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.8519060611724854,5263.1578947368425
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.922116279602051,10526.315789473685
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9134132862091064,15789.473684210527
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.946261167526245,21052.63157894737
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9847159385681152,26315.789473684214
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.950605869293213,31578.947368421053
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.961390972137451,36842.1052631579
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.977083921432495,42105.26315789474
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.993462085723877,47368.42105263158
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9349472522735596,52631.57894736843
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.933298110961914,57894.73684210527
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9716551303863525,63157.89473684211
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.940248966217041,68421.05263157895
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.908761978149414,73684.2105263158
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.916862964630127,78947.36842105264
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9219470024108887,84210.52631578948
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9746012687683105,89473.68421052632
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9769299030303955,94736.84210526316
0.0,6345655.0,5.981455e+24,8.319725e-05,0.1111111,3.7496e-10,3.9709041118621826,100000.0
