time             O                C                N                S                He
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
0.0000000000e+00 1.3186902977e+00 4.0934514883e-01 1.0000000000e-99 1.0000000000e-99 0.0000000000e+00
